"art_hist1","art_hist_2","artist_or_period"
"Richard Krautheimer","Ernst Kitzinger","byzantine art"
"Otto Lehmann-Brockhaus","Ernst Kitzinger","middle ages"
"Federico Zeri","Ernst Kitzinger","middle ages"
"Kurt Badt","Ernst Kitzinger","middle ages"
"Werner Cohn","Ernst Kitzinger","middle ages"
"Federico Zeri","Otto Lehmann-Brockhaus","middle ages"
"Kurt Badt","Otto Lehmann-Brockhaus","middle ages"
"Werner Cohn","Otto Lehmann-Brockhaus","middle ages"
"Kurt Badt","Federico Zeri","middle ages"
"Werner Cohn","Federico Zeri","middle ages"
"Werner Cohn","Kurt Badt","middle ages"
"Richard Krautheimer","Ernst Kitzinger","early christian art and architecture"
"Werner Cohn","Federico Zeri","renaissance"
"Aby Warburg","Everett Fahy","renaissance"
"Fritz Heinemann","Everett Fahy","renaissance"
"Richard Krautheimer","Everett Fahy","renaissance"
"John Pope-Hennessy","Everett Fahy","renaissance"
"Julian Kliemann","Everett Fahy","renaissance"
"Luisa Vertova","Everett Fahy","renaissance"
"Federico Zeri","Everett Fahy","renaissance"
"Stefano Tumidei","Everett Fahy","renaissance"
"Ernst Steinmann","Everett Fahy","renaissance"
"Leo Steinberg","Everett Fahy","renaissance"
"Werner Cohn","Everett Fahy","renaissance"
"Ulrich Middeldorf","Everett Fahy","renaissance"
"Kornél Fabriczy","Everett Fahy","renaissance"
"Wolfgang Lotz","Everett Fahy","renaissance"
"Fritz Heinemann","Aby Warburg","renaissance"
"Richard Krautheimer","Aby Warburg","renaissance"
"John Pope-Hennessy","Aby Warburg","renaissance"
"Julian Kliemann","Aby Warburg","renaissance"
"Luisa Vertova","Aby Warburg","renaissance"
"Federico Zeri","Aby Warburg","renaissance"
"Stefano Tumidei","Aby Warburg","renaissance"
"Ernst Steinmann","Aby Warburg","renaissance"
"Leo Steinberg","Aby Warburg","renaissance"
"Werner Cohn","Aby Warburg","renaissance"
"Ulrich Middeldorf","Aby Warburg","renaissance"
"Kornél Fabriczy","Aby Warburg","renaissance"
"Wolfgang Lotz","Aby Warburg","renaissance"
"Richard Krautheimer","Fritz Heinemann","renaissance"
"John Pope-Hennessy","Fritz Heinemann","renaissance"
"Julian Kliemann","Fritz Heinemann","renaissance"
"Luisa Vertova","Fritz Heinemann","renaissance"
"Federico Zeri","Fritz Heinemann","renaissance"
"Stefano Tumidei","Fritz Heinemann","renaissance"
"Ernst Steinmann","Fritz Heinemann","renaissance"
"Leo Steinberg","Fritz Heinemann","renaissance"
"Werner Cohn","Fritz Heinemann","renaissance"
"Ulrich Middeldorf","Fritz Heinemann","renaissance"
"Kornél Fabriczy","Fritz Heinemann","renaissance"
"Wolfgang Lotz","Fritz Heinemann","renaissance"
"John Pope-Hennessy","Richard Krautheimer","renaissance"
"Julian Kliemann","Richard Krautheimer","renaissance"
"Luisa Vertova","Richard Krautheimer","renaissance"
"Federico Zeri","Richard Krautheimer","renaissance"
"Stefano Tumidei","Richard Krautheimer","renaissance"
"Ernst Steinmann","Richard Krautheimer","renaissance"
"Leo Steinberg","Richard Krautheimer","renaissance"
"Werner Cohn","Richard Krautheimer","renaissance"
"Ulrich Middeldorf","Richard Krautheimer","renaissance"
"Kornél Fabriczy","Richard Krautheimer","renaissance"
"Wolfgang Lotz","Richard Krautheimer","renaissance"
"Julian Kliemann","John Pope-Hennessy","renaissance"
"Luisa Vertova","John Pope-Hennessy","renaissance"
"Federico Zeri","John Pope-Hennessy","renaissance"
"Stefano Tumidei","John Pope-Hennessy","renaissance"
"Ernst Steinmann","John Pope-Hennessy","renaissance"
"Leo Steinberg","John Pope-Hennessy","renaissance"
"Werner Cohn","John Pope-Hennessy","renaissance"
"Ulrich Middeldorf","John Pope-Hennessy","renaissance"
"Kornél Fabriczy","John Pope-Hennessy","renaissance"
"Wolfgang Lotz","John Pope-Hennessy","renaissance"
"Luisa Vertova","Julian Kliemann","renaissance"
"Federico Zeri","Julian Kliemann","renaissance"
"Stefano Tumidei","Julian Kliemann","renaissance"
"Ernst Steinmann","Julian Kliemann","renaissance"
"Leo Steinberg","Julian Kliemann","renaissance"
"Werner Cohn","Julian Kliemann","renaissance"
"Ulrich Middeldorf","Julian Kliemann","renaissance"
"Kornél Fabriczy","Julian Kliemann","renaissance"
"Wolfgang Lotz","Julian Kliemann","renaissance"
"Federico Zeri","Luisa Vertova","renaissance"
"Stefano Tumidei","Luisa Vertova","renaissance"
"Ernst Steinmann","Luisa Vertova","renaissance"
"Leo Steinberg","Luisa Vertova","renaissance"
"Werner Cohn","Luisa Vertova","renaissance"
"Ulrich Middeldorf","Luisa Vertova","renaissance"
"Kornél Fabriczy","Luisa Vertova","renaissance"
"Wolfgang Lotz","Luisa Vertova","renaissance"
"Stefano Tumidei","Federico Zeri","renaissance"
"Ernst Steinmann","Federico Zeri","renaissance"
"Leo Steinberg","Federico Zeri","renaissance"
"Ulrich Middeldorf","Federico Zeri","renaissance"
"Kornél Fabriczy","Federico Zeri","renaissance"
"Wolfgang Lotz","Federico Zeri","renaissance"
"Ernst Steinmann","Stefano Tumidei","renaissance"
"Leo Steinberg","Stefano Tumidei","renaissance"
"Werner Cohn","Stefano Tumidei","renaissance"
"Ulrich Middeldorf","Stefano Tumidei","renaissance"
"Kornél Fabriczy","Stefano Tumidei","renaissance"
"Wolfgang Lotz","Stefano Tumidei","renaissance"
"Leo Steinberg","Ernst Steinmann","renaissance"
"Werner Cohn","Ernst Steinmann","renaissance"
"Ulrich Middeldorf","Ernst Steinmann","renaissance"
"Kornél Fabriczy","Ernst Steinmann","renaissance"
"Wolfgang Lotz","Ernst Steinmann","renaissance"
"Werner Cohn","Leo Steinberg","renaissance"
"Ulrich Middeldorf","Leo Steinberg","renaissance"
"Kornél Fabriczy","Leo Steinberg","renaissance"
"Wolfgang Lotz","Leo Steinberg","renaissance"
"Ulrich Middeldorf","Werner Cohn","renaissance"
"Kornél Fabriczy","Werner Cohn","renaissance"
"Wolfgang Lotz","Werner Cohn","renaissance"
"Kornél Fabriczy","Ulrich Middeldorf","renaissance"
"Wolfgang Lotz","Ulrich Middeldorf","renaissance"
"Wolfgang Lotz","Kornél Fabriczy","renaissance"
"Fritz Heinemann","Everett Fahy","15th century"
"John Pope-Hennessy","Everett Fahy","15th century"
"Julian Kliemann","Everett Fahy","15th century"
"Luisa Vertova","Everett Fahy","15th century"
"Federico Zeri","Everett Fahy","15th century"
"Stefano Tumidei","Everett Fahy","15th century"
"John Pope-Hennessy","Fritz Heinemann","15th century"
"Julian Kliemann","Fritz Heinemann","15th century"
"Luisa Vertova","Fritz Heinemann","15th century"
"Federico Zeri","Fritz Heinemann","15th century"
"Stefano Tumidei","Fritz Heinemann","15th century"
"Julian Kliemann","John Pope-Hennessy","15th century"
"Luisa Vertova","John Pope-Hennessy","15th century"
"Federico Zeri","John Pope-Hennessy","15th century"
"Stefano Tumidei","John Pope-Hennessy","15th century"
"Luisa Vertova","Julian Kliemann","15th century"
