"art_hist1","art_hist_2","period_artist","institution"
"Luigi Salerno","Federico Zeri","baroque","Sapienza University of Rome"
"Luigi Salerno","Federico Zeri","17th century","Sapienza University of Rome"
"Luigi Salerno","Federico Zeri","Caravaggio","Sapienza University of Rome"
"Stefano Tumidei","Federico Zeri","renaissance","University of Bologna"
"Stefano Tumidei","Federico Zeri","15th century","University of Bologna"
"Stefano Tumidei","Federico Zeri","16th century","University of Bologna"
"Stefano Tumidei","Federico Zeri","baroque","University of Bologna"
"Stefano Tumidei","Federico Zeri","17th century","University of Bologna"
"Stefano Tumidei","Federico Zeri","Gian Lorenzo Bernini","University of Bologna"
"Leo Steinberg","Everett Fahy","renaissance","Harvard University"
"Leo Steinberg","Federico Zeri","renaissance","Harvard University"
"Ernst Kitzinger","Federico Zeri","middle ages","Harvard University"
"Everett Fahy","Federico Zeri","renaissance","Harvard University"
"Everett Fahy","Federico Zeri","15th century","Harvard University"
"Everett Fahy","Federico Zeri","16th century","Harvard University"
"Leo Steinberg","John Pope-Hennessy","renaissance","Metropolitan Museum of Art"
"Leo Steinberg","Everett Fahy","renaissance","Metropolitan Museum of Art"
"Leo Steinberg","Federico Zeri","renaissance","Metropolitan Museum of Art"
"John Pope-Hennessy","Everett Fahy","renaissance","Metropolitan Museum of Art"
"John Pope-Hennessy","Everett Fahy","15th century","Metropolitan Museum of Art"
"John Pope-Hennessy","Everett Fahy","Sandro Botticelli","Metropolitan Museum of Art"
"John Pope-Hennessy","Federico Zeri","renaissance","Metropolitan Museum of Art"
"John Pope-Hennessy","Federico Zeri","15th century","Metropolitan Museum of Art"
"John Pope-Hennessy","Federico Zeri","Donatello","Metropolitan Museum of Art"
"Everett Fahy","Federico Zeri","renaissance","Metropolitan Museum of Art"
"Everett Fahy","Federico Zeri","15th century","Metropolitan Museum of Art"
"Everett Fahy","Federico Zeri","16th century","Metropolitan Museum of Art"
"Leo Steinberg","Wolfgang Lotz","renaissance","Nezu Museum"
"Aby Warburg","Ulrich Middeldorf","renaissance","Kunsthistorisches Institut in Florenz"
"Aby Warburg","Wolfgang Lotz","renaissance","Kunsthistorisches Institut in Florenz"
"Ulrich Middeldorf","Wolfgang Lotz","renaissance","Kunsthistorisches Institut in Florenz"
"Ellis Waterhouse","Federico Zeri","baroque","J. Paul Getty Museum"
"Ellis Waterhouse","Federico Zeri","mannerism","J. Paul Getty Museum"
"Aby Warburg","Richard Krautheimer","renaissance","University of Halle-Wittenberg"
"Leo Steinberg","Richard Krautheimer","renaissance","New York University"
"Leo Steinberg","Richard Krautheimer","Francesco Borromini","New York University"
"Leo Steinberg","Werner Cohn","renaissance","New York University"
"Leo Steinberg","Wolfgang Lotz","renaissance","New York University"
"Richard Krautheimer","Werner Cohn","renaissance","New York University"
"Richard Krautheimer","Werner Cohn","Lorenzo Ghiberti","New York University"
"Richard Krautheimer","Wolfgang Lotz","renaissance","New York University"
"Richard Krautheimer","Wolfgang Lotz","baroque","New York University"
"Richard Krautheimer","Wolfgang Lotz","Gian Lorenzo Bernini","New York University"
"Julius S. Held","Wolfgang Lotz","16th century","New York University"
"Julius S. Held","Wolfgang Lotz","17th century","New York University"
"Werner Cohn","Wolfgang Lotz","renaissance","New York University"
"Richard Krautheimer","Wolfgang Lotz","renaissance","Vassar College"
"Richard Krautheimer","Wolfgang Lotz","baroque","Vassar College"
"Richard Krautheimer","Wolfgang Lotz","Gian Lorenzo Bernini","Vassar College"
"Leo Steinberg","Federico Zeri","renaissance","Columbia University"
"Julius S. Held","Federico Zeri","16th century","Columbia University"
"Julius S. Held","Federico Zeri","17th century","Columbia University"
"Kurt Badt","Werner Cohn","middle ages","Freiburg im Breisgau"
"Kurt Badt","Wolfgang Lotz","16th century","Freiburg im Breisgau"
"Kurt Badt","Wolfgang Lotz","baroque","Freiburg im Breisgau"
"Werner Cohn","Wolfgang Lotz","renaissance","Freiburg im Breisgau"
"Luisa Vertova","Julian Kliemann","renaissance","Harvard University Center for Italian Renaissance Studies"
"Luisa Vertova","Julian Kliemann","15th century","Harvard University Center for Italian Renaissance Studies"
"Luisa Vertova","Julian Kliemann","16th century","Harvard University Center for Italian Renaissance Studies"
"Luisa Vertova","Julian Kliemann","17th century","Harvard University Center for Italian Renaissance Studies"
"Richard Krautheimer","Julian Kliemann","renaissance","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Richard Krautheimer","Julian Kliemann","baroque","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Richard Krautheimer","Wolfgang Lotz","renaissance","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Richard Krautheimer","Wolfgang Lotz","baroque","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Richard Krautheimer","Wolfgang Lotz","Gian Lorenzo Bernini","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Richard Krautheimer","Ernst Steinmann","renaissance","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Julian Kliemann","Wolfgang Lotz","renaissance","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Julian Kliemann","Wolfgang Lotz","16th century","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Julian Kliemann","Wolfgang Lotz","baroque","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Julian Kliemann","Wolfgang Lotz","17th century","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Julian Kliemann","Ernst Steinmann","renaissance","Bibliotheca Hertziana – Max Planck Institute of Art History"
"Wolfgang Lotz","Ernst Steinmann","renaissance","Bibliotheca Hertziana – Max Planck Institute of Art History"
